City,datetime,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind_Speed
Pune,2022-01-01 00:00:00,41.9704273771011,74.58838632088127,39.701888720987725,14.425617336254708,0.8831576294377825,28.08572029505791,19.486257918765958,66.7065525601221,8.48695585152573
Chennai,2022-01-01 01:00:00,43.5067455473512,84.61558452282472,45.752842455188095,14.25755472751016,1.3295461340578347,50.77886228315963,21.725045540953083,61.18012351912712,11.3164917527421
Kolkata,2022-01-01 02:00:00,69.32671494864998,105.47173296331125,48.034043891285116,25.92717444816577,1.1220522469318994,56.41920433557056,22.64315917688944,55.43738402655546,10.33028945625008
Pune,2022-01-01 03:00:00,51.20726870767223,68.61146177525646,45.58233795048188,16.340925865472578,0.9438709786054083,41.85621639420844,25.645120216908904,51.590538363567205,17.30415569928695
Bangalore,2022-01-01 04:00:00,37.752127602655975,66.59448191915607,35.24543405826142,11.62259336009679,0.9867661592815229,24.437177031812418,23.439580027772777,59.59559202791691,8.134522228135475
Ahmedabad,2022-01-01 05:00:00,49.549874342440326,89.70993678290245,56.20479066367143,16.0148428976017,1.1955311860935052,62.903159348123864,20.142510625946453,50.29373194148922,16.25893216605105
Kolkata,2022-01-01 06:00:00,82.74066454330644,100.7741449928626,50.905310553854854,20.615679295770757,1.2954639369145233,56.20056302824879,16.86681207863447,43.549333409566415,11.187548627383135
Kolkata,2022-01-01 07:00:00,76.4510600998019,103.19867709444483,91.0265437745063,19.007785646721423,1.3624121953141086,60.35931977526202,21.360749282820915,53.05974784356436,13.60933762772454
Pune,2022-01-01 08:00:00,36.64973052658543,74.67054743172231,49.95010237433971,18.77608544386487,1.0170343195532545,19.021648369381474,29.6813676412244,53.80654602194367,13.964804034983484
Mumbai,2022-01-01 09:00:00,67.11179257533475,101.75338570276784,54.78516106340308,18.5354689026241,1.4142687629776889,28.608727652203154,26.478482646422314,50.34016203739141,15.012048871758324
Bangalore,2022-01-01 10:00:00,35.55119014900037,51.31770355205981,40.56614780817237,16.514747436332723,0.933254472183871,26.897021438003698,19.47716194751209,59.36073560178247,8.48232890222923
Pune,2022-01-01 11:00:00,33.30843221786769,67.13980420455582,31.324635911057953,8.258196304919547,0.9057832739282461,33.40002878828056,27.38222444086517,37.31414984258393,11.777784055737266
Bangalore,2022-01-01 12:00:00,42.32283780703393,67.56035775586199,37.72168804798362,11.126769698774657,0.8692050916325171,38.23592776321975,25.951557929274337,49.290921773237024,12.746105214509894
Bangalore,2022-01-01 13:00:00,21.632509651285144,72.80435395237743,42.70685603370995,10.12685418029511,1.0065760031196345,32.84694654782768,20.014078383030004,45.9742084119914,8.165134185688293
Ahmedabad,2022-01-01 14:00:00,30.766035310335788,82.03048933267596,59.59839749979903,12.624323492876112,1.0110271792703163,32.06503984909829,30.101183032539755,40.677179462019,11.156266085502311
Kolkata,2022-01-01 15:00:00,51.90305957893,113.5335907773706,48.11148878087656,17.921482872122674,1.3464797931074137,62.20832291817876,21.038612375795644,52.95853408977809,10.043331451060386
